DEBUG 2025-11-25 15:45:20,440 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\qrcode\main.py first seen with mtime 1764063929.975168
DEBUG 2025-11-25 15:45:20,440 autoreload File C:\Python313\Lib\weakref.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,441 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\phonenumbers\data\alt_format_44.py first seen with mtime 1764063865.6425421
DEBUG 2025-11-25 15:45:20,441 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1764063948.830476
DEBUG 2025-11-25 15:45:20,441 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\views\debug.py first seen with mtime 1764063953.9889312
DEBUG 2025-11-25 15:45:20,442 autoreload File C:\Users\Medserv Africa\schoolsaas\chat\forms.py first seen with mtime 1764058919.0017145
DEBUG 2025-11-25 15:45:20,442 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\allauth\__init__.py first seen with mtime 1764064066.715944
DEBUG 2025-11-25 15:45:20,442 autoreload File C:\Python313\DLLs\_ssl.pyd first seen with mtime 1744116380.0
DEBUG 2025-11-25 15:45:20,442 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\numpy\_core\_add_newdocs_scalars.py first seen with mtime 1764063908.2332132
DEBUG 2025-11-25 15:45:20,443 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\urls\utils.py first seen with mtime 1764063953.9213548
DEBUG 2025-11-25 15:45:20,443 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\cryptography\hazmat\primitives\hashes.py first seen with mtime 1764064082.4641058
DEBUG 2025-11-25 15:45:20,443 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\celery\app\builtins.py first seen with mtime 1764064089.698417
DEBUG 2025-11-25 15:45:20,444 autoreload File C:\Python313\Lib\subprocess.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,444 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\phonenumbers\data\alt_format_675.py first seen with mtime 1764063865.6606805
DEBUG 2025-11-25 15:45:20,445 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1764063953.4132552
DEBUG 2025-11-25 15:45:20,445 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\allauth\socialaccount\admin.py first seen with mtime 1764064067.289415
DEBUG 2025-11-25 15:45:20,445 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\amqp\exceptions.py first seen with mtime 1764063973.2073357
